VK,KEY
1,Left mouse button
2,Right mouse button
3,Control-break processing
4,Middle mouse button
5,Windows 2000: X1 mouse button
6,Windows 2000: X2 mouse button
7,Undefined
8,BACKSPACE key
9,TAB key
10,Reserved
11,Reserved
12,CLEAR key
13,ENTER key
14,Undefined
15,Undefined
16,SHIFT key
17,CTRL key
18,ALT key
19,PAUSE key
20,CAPS LOCK key
21,IME Kana mode
21,IME Hanguel mode
21,IME Hangul mode
22,Undefined
23,IME Junja mode
24,IME final mode
25,IME Hanja mode
25,IME Kanji mode
26,Undefined
27,ESC key
28,IME convert
29,IME nonconvert
30,IME accept
31,IME mode change request
32,SPACEBAR
33,PAGE UP key
34,PAGE DOWN key
35,END key
36,HOME key
37,LEFT ARROW key
38,UP ARROW key
39,RIGHT ARROW key
40,DOWN ARROW key
41,SELECT key
42,PRINT key
43,EXECUTE key
44,PRINT SCREEN key
45,INS key
46,DEL key
47,HELP key
48,0 key
49,1 key
50,2 key
51,3 key
52,4 key
53,5 key
54,6 key
55,7 key
56,8 key
57,9 key
58,Undefined
59,Undefined
60,Undefined
61,Undefined
62,Undefined
63,Undefined
64,Undefined
65,A key
66,B key
67,C key
68,D key
69,E key
70,F key
71,G key
72,H key
73,I key
74,J key
75,K key
76,L key
77,M key
78,N key
79,O key
80,P key
81,Q key
82,R key
83,S key
84,T key
85,U key
86,V key
87,W key
88,X key
89,Y key
90,Z key
91,Left Windows key
92,Right Windows key
93,Applications key
94,Reserved
95,Computer Sleep key
96,Numeric keypad 0 key
97,Numeric keypad 1 key
98,Numeric keypad 2 key
99,Numeric keypad 3 key
100,Numeric keypad 4 key
101,Numeric keypad 5 key
102,Numeric keypad 6 key
103,Numeric keypad 7 key
104,Numeric keypad 8 key
105,Numeric keypad 9 key
106,Multiply key
107,Add key
108,Separator key
109,Subtract key
110,Decimal key
111,Divide key
112,F1 key
113,F2 key
114,F3 key
115,F4 key
116,F5 key
117,F6 key
118,F7 key
119,F8 key
120,F9 key
121,F10 key
122,F11 key
123,F12 key
124,F13 key
125,F14 key
126,F15 key
127,F16 key
128H,F17 key
129H,F18 key
130H,F19 key
131H,F20 key
132H,F21 key
133H,F22 key
134H,F23 key
135H,F24 key
136,Unassigned
137,Unassigned
138,Unassigned
139,Unassigned
140,Unassigned
141,Unassigned
142,Unassigned
143,Unassigned
144,NUM LOCK key
145,SCROLL LOCK key
146,OEM specific
147,OEM specific
148,OEM specific
149,OEM specific
150,OEM specific
151,Unassigned
152,Unassigned
153,Unassigned
154,Unassigned
155,Unassigned
156,Unassigned
157,Unassigned
158,Unassigned
159,Unassigned
160,Left SHIFT key
161,Right SHIFT key
162,Left CONTROL key
163,Right CONTROL key
164,Left MENU key
165,Right MENU key
166,Windows 2000: Browser Back key
167,Windows 2000: Browser Forward key
168,Windows 2000: Browser Refresh key
169,Windows 2000: Browser Stop key
170,Windows 2000: Browser Search key
171,Windows 2000: Browser Favorites key
172,Windows 2000: Browser Start and Home key
173,Windows 2000: Volume Mute key
174,Windows 2000: Volume Down key
175,Windows 2000: Volume Up key
176,Windows 2000: Next Track key
177,Windows 2000: Previous Track key
178,Windows 2000: Stop Media key
179,Windows 2000: Play/Pause Media key
180,Windows 2000: Start Mail key
181,Windows 2000: Select Media key
182,Windows 2000: Start Application 1 key
183,Windows 2000: Start Application 2 key
184,Reserved
185,Reserved
186,';:' key
187,'+' key
188,'",' key
189,'-' key
190,'.' key
191,'/?' key
192,'`~' key
193,Reserved
194,Reserved
195,Reserved
196,Reserved
197,Reserved
198,Reserved
199,Reserved
200,Reserved
201,Reserved
202,Reserved
203,Reserved
204,Reserved
205,Reserved
206,Reserved
207,Reserved
208,Reserved
209,Reserved
210,Reserved
211,Reserved
212,Reserved
213,Reserved
214,Reserved
215,Reserved
216,Unassigned
217,Unassigned
218,Unassigned
219,'[{' key
220,'\|' key
221,']}' key
222, Quote key
223,unkown
224,Reserved
225,OEM specific
226,Windows 2000: Either the angle bracket key or the backslash key on the RT 102-key keyboard
229,OEM specific
229,OEM specific
229,IME PROCESS key
230,OEM specific
231,"Windows 2000: Used to pass Unicode characters as if they were keystrokes. The VK_PACKET key is the low word of a 32-bit Virtual Key value used for non-keyboard input methods. For more information, see Remark in KEYBDINPUT, SendInput, WM_KEYDOWN, and WM_KEYUP"
232,Unassigned
233,OEM specific
234,OEM specific
235,OEM specific
236,OEM specific
237,OEM specific
238,OEM specific
239,OEM specific
240,OEM specific
241,OEM specific
242,OEM specific
243,OEM specific
244,OEM specific
245,OEM specific
246,Attn key
247,CrSel key
248,ExSel key
249,Erase EOF key
250,Play key
251,Zoom key
252,Reserved for future use
253,PA1 key
254,Clear key